neighbourhood,listing_count,low_confidence,neighbourhood_group,centroid_lat,centroid_lon,tour_reviews_per_month_mean,tour_reviews_per_month_median,tour_reviews_total_mean,tour_entire_home_share,tour_dist_grote_markt_km_median,tour_dist_centraal_station_km_median,tour_dist_mas_km_median,tour_dist_zoo_km_median,tour_dist_coast_km_median,host_hhi,host_share_10plus,host_top5_share,host_multilisting_share,reg_min30_share,reg_min_nights_median,tenure_months_median,tenure_supporting_listings,rev_uncapped_median,rev_capped_median,rev_supporting_listings,occ_booked_days_median,occ_zero_availability_share,rev_divergence_ratio,occ_proxy_unreliable,price_median,price_iqr,price_cv,price_gini,price_median_entire_home_apt,price_median_hotel_room,price_median_private_room,price_median_shared_room,inactivity_never_reviewed_share,inactivity_stale_since_covid_share,topic_0_loading,topic_1_loading,topic_2_loading,topic_3_loading,topic_4_loading
Sint-Andries,93,True,,51.21547064516129,4.397583333333333,1.4277333333333333,0.87,34.1505376344086,0.8924731182795699,0.6424151050108837,1.6301994777001447,1.741465789540242,1.5768360039006064,0.1991931515175844,0.020696034223609657,0.12903225806451613,0.22580645161290322,0.5161290322580645,0.010752688172043012,2.0,23.636363636363633,75,1350.0,1278.0,75,256.0,0.3763440860215054,1.056338028169014,True,90.0,55.0,1.9241099562338675,0.5247259179825235,90.0,,64.0,,0.1935483870967742,0.44086021505376344,0.16748081611355622,0.0713174151338014,0.15529067098932453,0.226064194423384,0.1862985162431597
Stadspark,184,False,,51.208339728260874,4.414214184782609,1.0863636363636364,0.64,20.53804347826087,0.8532608695652174,1.8132775453182173,1.1707875447705436,2.469247041607989,1.0927233403578014,1.3129311467451459,0.04897211720226843,0.375,0.3804347826086957,0.6521739130434783,0.03804347826086957,2.0,15.384615384615383,143,999.0,910.0,143,283.5,0.3695652173913043,1.097802197802198,True,79.0,86.25,1.7693829251592808,0.6492611107999948,87.0,,35.0,,0.22282608695652173,0.44565217391304346,0.26069935404828337,0.052735002026434254,0.14430366321645205,0.25777311663189306,0.13774973364215468
Stuivenberg,81,True,,51.22345864197531,4.431723950617283,1.2262337662337663,0.7,39.77777777777778,0.6419753086419753,2.2014279255617675,1.1281205962174379,1.7939846984703058,1.1978631563749422,2.3916993982544805,0.018442310623380573,0.0,0.1728395061728395,0.35802469135802467,0.037037037037037035,2.0,25.974025974025974,77,1125.0,1125.0,77,319.0,0.4444444444444444,1.0,True,50.0,37.0,0.7623186753525986,0.3423251935244104,65.0,,35.5,20.0,0.04938271604938271,0.6296296296296297,0.14195539957793327,0.14670942964926556,0.04738941935170859,0.2524224881071019,0.09053560899300304
Tentoonstellingswijk,5,True,,51.190218,4.3927320000000005,1.4025,1.3250000000000002,28.8,0.4,3.2783906549583883,3.4083928616866555,4.3181828079352975,3.3297235734169393,0.22542643921195157,0.20000000000000004,0.0,1.0,0.0,0.0,2.0,23.66202169085701,4,2385.0,2385.0,4,365.0,0.6,1.0,True,55.0,39.0,0.5885758803759185,0.29225589225589227,92.5,,35.0,,0.2,0.6,0.13475906020365352,0.4116760727632043,0.0,0.4192811239754561,0.03428374305768611
Theaterbuurt-Meir,193,False,,51.21577652849741,4.407685077720207,1.5580124223602485,0.99,31.875647668393782,0.9222797927461139,0.9330641917330058,1.00635852425571,1.5391913207253016,0.9783684475933443,0.8206927280320936,0.023114714488979563,0.29533678756476683,0.27979274611398963,0.5595854922279793,0.0051813471502590676,1.0,15.384615384615383,161,820.0,820.0,161,224.0,0.33678756476683935,1.0,True,89.0,55.0,1.8814352760564608,0.6093004835107236,90.0,,45.0,,0.16580310880829016,0.35751295336787564,0.15075752711685794,0.06294646933606161,0.18790956141676537,0.2569683880888019,0.11343877943011416
Tuinwijk,2,True,,51.26608,4.457364999999999,3.005,3.005,90.5,0.0,6.413111904797041,5.984166111111852,5.298075055582426,6.062252057869364,3.8494486099177543,1.0,0.0,1.0,1.0,0.0,1.0,30.250624873336484,2,1069.75,1069.75,2,275.0,0.5,1.0,True,23.5,1.5,0.09026895078977201,0.031914893617021274,,,23.5,,0.0,0.5,0.0,0.0,0.0,0.0,0.0
Universiteitsbuurt,132,False,,51.2224975,4.409472272727273,1.932543859649123,1.07,51.95454545454545,0.75,0.6896614627485783,1.0682380902843114,0.8685628805317364,1.0667165015855806,0.8740395791928871,0.013888888888888888,0.13636363636363635,0.16666666666666666,0.4166666666666667,0.007575757575757576,2.0,23.748006379585327,114,1723.75,1542.5,114,276.0,0.42424242424242425,1.1175040518638575,True,65.0,49.5,1.9863920625073208,0.5387926859976369,75.0,65.0,45.0,85.0,0.13636363636363635,0.4166666666666667,0.19814680610982374,0.05862270225621321,0.10029598394693559,0.20585197672060707,0.14920374308763254
Valaar,5,True,,51.181166000000005,4.382890000000001,0.77,0.79,19.6,0.8,4.542281120405002,4.822022949449078,5.629687713205347,4.743454341652455,1.0891677097997725,0.20000000000000004,0.0,1.0,0.4,0.0,2.0,33.0026455026455,4,736.25,736.25,4,78.0,0.2,1.0,False,80.0,35.0,0.2915153325534877,0.1371757925072046,82.5,,45.0,,0.2,0.4,0.0,0.1546673502541091,0.0,0.0386210996945084,0.006711550051382515
Wilrijk Centrum,7,True,,51.17013857142857,4.390531428571428,0.6771428571428572,0.56,17.285714285714285,0.5714285714285714,5.4491492988021974,5.427419940827249,6.478721014145832,5.349576061363268,1.951585497370856,0.14285714285714285,0.0,0.7142857142857143,0.42857142857142855,0.14285714285714285,2.0,23.423423423423422,7,1300.0,1200.0,7,364.0,0.42857142857142855,1.0833333333333333,True,62.0,30.5,0.46432981205490886,0.23593590180702353,63.5,,25.0,,0.0,0.7142857142857143,0.06719430190636269,0.18230538746467614,0.0032441414444740334,0.36549971667219744,0.3817564525122896
Zuid,155,False,,51.2090275483871,4.3937446451612905,0.8500833333333334,0.445,18.574193548387097,0.8258064516129032,1.416349527812768,2.095901181933275,2.4884570952958267,2.036190604390622,0.2364608225613801,0.014276795005202913,0.0967741935483871,0.16774193548387098,0.4129032258064516,0.04516129032258064,2.0,24.72222222222222,120,905.0,808.5,120,315.0,0.432258064516129,1.119356833642548,True,80.0,49.5,0.7542644697562505,0.35363821514534344,81.5,,59.5,18.0,0.22580645161290322,0.535483870967742,0.06321696064453312,0.2003124974574587,0.06443876958992036,0.325842415241053,0.12038290545413162
Zurenborg,45,True,,51.20823333333333,4.428873777777778,0.8581081081081081,0.57,16.533333333333335,0.6222222222222222,2.476841065058715,1.1389828072917618,2.781930385501534,1.098539605012082,2.3109197841807285,0.026172839506172843,0.0,0.2,0.2,0.06666666666666667,2.0,23.444976076555026,37,665.0,665.0,37,344.0,0.4888888888888889,1.0,True,65.0,35.0,1.118168815218654,0.38153980752405947,70.0,,40.0,44.5,0.17777777777777778,0.6222222222222222,0.0626087067687117,0.11217836439404198,0.034944151536343386,0.43259309494261655,0.11323123791384189
